sweep_group,run_name,status,freeze_mode,model_name,epochs,n_splits,pairwise_loss_weight,reward_cost_weight,exact_accuracy,depth_accuracy,width_accuracy,depth_macro_f1,width_macro_f1,strategy_macro_f1,depth_abs_error,width_abs_error,cost_sensitive_error,loss,mean_pred_llm_f1,mean_best_llm_f1,mean_baseline_llm_f1,mean_best_minus_pred_f1,mean_pred_minus_baseline_f1,exact_accuracy__std,depth_accuracy__std,width_accuracy__std,depth_macro_f1__std,width_macro_f1__std,strategy_macro_f1__std,depth_abs_error__std,width_abs_error__std,cost_sensitive_error__std,loss__std,mean_pred_llm_f1__std,mean_best_llm_f1__std,mean_baseline_llm_f1__std,mean_best_minus_pred_f1__std,mean_pred_minus_baseline_f1__std,elapsed_sec,local_output_dir,drive_output_dir
loss_balance_sweep_v1,pair2p0_cost0p02_last1,completed,last1,distilbert-base-uncased,12,3,2.0,0.02,0.538583509513742,0.6617336152219873,0.6844608879492601,0.3828158416242104,0.3634408339838668,0.1656907421618517,0.5304792107117688,0.7389006342494714,0.8999295278365045,1.2840796654287123,0.4026163726583497,0.6357968782471732,0.2756429090630569,0.2331805055888235,0.1269734635952928,0.0374891873706244,0.0514398522646783,0.0290409236106049,0.0894205339058613,0.0214056127641659,0.0293498973136832,0.0985872257432913,0.0546318374605604,0.1049514842835084,0.0716332761533482,0.0556685205097553,0.0114423573055056,0.0066949582450985,0.0464625831128076,0.0497421443814061,770.7707278728485,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p02_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p02_last1
loss_balance_sweep_v1,pair2p0_cost0p1_last1,completed,last1,distilbert-base-uncased,12,3,2.0,0.1,0.5310077519379846,0.6465821000704721,0.7075405214940099,0.3895269804664358,0.4529302986782495,0.1867372129637499,0.5761099365750528,0.7078928823114868,0.9300563777307964,1.2497807344040863,0.4050531843846351,0.6357968782471732,0.2756429090630569,0.2307436938625381,0.1294102753215782,0.0440225453162812,0.0669921226143005,0.0170885914770713,0.0834523197277923,0.072003499381431,0.0034638473510511,0.1390415071398869,0.0324152801468835,0.1228586472610463,0.1074672676254051,0.0545781631902099,0.0114423573055056,0.0066949582450985,0.044941509344511,0.0484621247927905,829.0353395938873,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p1_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p1_last1
loss_balance_sweep_v1,pair2p0_cost0p05_last1,completed,last1,distilbert-base-uncased,12,3,2.0,0.05,0.5308315715292459,0.6539816772374911,0.7001409443269907,0.421131833624413,0.4142389830897895,0.1895358226003387,0.5384073291050036,0.7152924594785061,0.8960535588442564,1.26403778479419,0.3946063439555106,0.6357968782471732,0.2756429090630569,0.2411905342916626,0.1189634348924536,0.0470381895363842,0.060108252675236,0.0196723394675234,0.0655226129796549,0.0876723354872726,0.026984382333126,0.1164391236212706,0.0363939431534189,0.099480014670094,0.0917826103804728,0.0602874094055599,0.0114423573055056,0.0066949582450985,0.0537098313672984,0.0556335314431669,712.5905663967133,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p05_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p05_last1
loss_balance_sweep_v1,pair2p0_cost0p0_last1,completed,last1,distilbert-base-uncased,12,3,2.0,0.0,0.5232558139534884,0.6231501057082452,0.7228682170542635,0.3763820897417843,0.4861720847103911,0.2073343614475098,0.5919661733615222,0.662262156448203,0.9230972515856236,1.2292736122505885,0.3911630851350587,0.6357968782471732,0.2756429090630569,0.2446337931121144,0.1155201760720018,0.0506848714365194,0.0472357385537134,0.0262165683303656,0.057257882204861,0.104913385671465,0.0243993072809647,0.1114908826506148,0.0886296029674982,0.0872393279082667,0.1218652641131177,0.0635907436359706,0.0114423573055056,0.0066949582450985,0.057834377725713,0.059369548498395,771.5665822029114,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p0_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair2p0_cost0p0_last1
loss_balance_sweep_v1,pair1p0_cost0p0_last1,completed,last1,distilbert-base-uncased,12,3,1.0,0.0,0.5077519379844961,0.6152219873150107,0.6844608879492601,0.357041107041107,0.3835342674052351,0.1741852215078759,0.5771670190274841,0.7692036645525019,0.9617688513037348,0.6864242994246244,0.3799234823089135,0.6357968782471732,0.2756429090630569,0.2558733959382597,0.1042805732458566,0.0469936265619462,0.0499855831608325,0.0290409236106049,0.0551997331044319,0.0691176813339881,0.0414490187551071,0.0859038040334462,0.0698341449770838,0.1191369129109708,0.0191685897915019,0.0536175882582502,0.0114423573055056,0.0066949582450985,0.0499345791553089,0.0504564165975895,825.2397785186768,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p0_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p0_last1
loss_balance_sweep_v1,pair1p0_cost0p1_last1,completed,last1,distilbert-base-uncased,12,3,1.0,0.1,0.5,0.6231501057082452,0.6844608879492601,0.3837515613377682,0.392930796055796,0.1701765958908816,0.5535588442565187,0.7924594785059901,0.9497885835095138,0.6839644575564722,0.3697232313783941,0.6357968782471732,0.2756429090630569,0.2660736468687791,0.0940803223153372,0.0348837209302325,0.0702522555503458,0.0290409236106049,0.0730060223370891,0.0926391368580417,0.0213221176802292,0.1432349973601756,0.0388444840950241,0.1587710043869762,0.0377463141211566,0.046994703043315,0.0114423573055056,0.0066949582450985,0.0408391469355199,0.0424937204298191,680.5941250324249,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p1_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p1_last1
loss_balance_sweep_v1,pair1p0_cost0p02_last1,completed,last1,distilbert-base-uncased,12,3,1.0,0.02,0.5,0.6079985905567301,0.6842847075405215,0.3323626724488793,0.3898441612151289,0.1682211967926253,0.5687103594080338,0.7699083861874559,0.953664552501762,0.6903925833590908,0.3709084165635793,0.6357968782471732,0.2756429090630569,0.2648884616835938,0.0952655075005224,0.0348837209302325,0.0778236947562889,0.0510181474213904,0.0454358358844901,0.1015732556253117,0.0206018757727092,0.1513364073418459,0.0893490045267569,0.1640695605111937,0.0344768870754518,0.0460653494208762,0.0114423573055056,0.0066949582450985,0.0403426056859439,0.0417788639728969,678.8879256248474,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p02_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p02_last1
loss_balance_sweep_v1,pair1p0_cost0p05_last1,completed,last1,distilbert-base-uncased,12,3,1.0,0.05,0.4772727272727272,0.5924947145877378,0.6693093727977448,0.3084216709216709,0.3512152643989951,0.1549170023794084,0.6074700493305144,0.7841789992952783,0.9995595489781536,0.6829421568209583,0.3666703495890307,0.6357968782471732,0.2756429090630569,0.2691265286581425,0.0910274405259738,0.0525971554629891,0.0510555504258919,0.0088494491577691,0.0291110193142832,0.0112039936606071,0.0126668727689437,0.0851547552463244,0.0602544725047197,0.1105789637259437,0.0372839009464826,0.0567104109130251,0.0114423573055056,0.0066949582450985,0.0500017255397561,0.0519775233589051,649.1543064117432,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p05_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair1p0_cost0p05_last1
loss_balance_sweep_v1,pair0p5_cost0p02_last1,completed,last1,distilbert-base-uncased,12,3,0.5,0.02,0.4698731501057082,0.6079985905567301,0.6619097956307258,0.3225474175028053,0.3300785140133731,0.1415346875946209,0.6303735024665257,0.7993305144467935,1.0300387596899223,0.4100626074789928,0.3527564834121268,0.6357968782471732,0.2756429090630569,0.2830403948350464,0.0771135743490699,0.07596849377681,0.0578995945782327,0.0433929878902749,0.051740920920619,0.1323032519715747,0.0772509050698731,0.103141855700895,0.0830538814197287,0.111695009708574,0.0178800415018634,0.0587450612925865,0.0114423573055056,0.0066949582450985,0.0495909505381677,0.0528482727804269,645.5558836460114,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p02_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p02_last1
loss_balance_sweep_v1,pair0p25_cost0p05_last1,completed,last1,distilbert-base-uncased,12,3,0.25,0.05,0.4693446088794926,0.6155743481324877,0.638477801268499,0.3618877907557152,0.2580628603016663,0.1284527319370525,0.5921423537702607,0.8382663847780126,1.011275546159267,0.2356399496786601,0.3582598882056202,0.6357968782471732,0.2756429090630569,0.2775369900415529,0.0826169791425633,0.059535424272003,0.0729642181427007,0.0117711720144398,0.0907448652266158,0.0582955559685184,0.0329862581848802,0.0948673835800341,0.0248583002458876,0.1031743521292558,0.0132003512891722,0.0577069728982026,0.0114423573055056,0.0066949582450985,0.0534453293260199,0.0542533196410694,819.1257240772247,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p05_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p05_last1
loss_balance_sweep_v1,pair0p5_cost0p1_last1,completed,last1,distilbert-base-uncased,12,3,0.5,0.1,0.4622973925299506,0.5926708949964764,0.6619097956307258,0.3091310879751481,0.3300785140133731,0.1378604148211991,0.6301973220577871,0.7993305144467935,1.029862579281184,0.4077613127817716,0.3553099370614709,0.6357968782471732,0.2756429090630569,0.2804869411857023,0.0796670279984139,0.088551295018171,0.0537485975071694,0.0433929878902749,0.061769114659893,0.1323032519715747,0.0828344210440844,0.1228722892956256,0.0830538814197287,0.1342554538295186,0.0181617959943011,0.0723258069393331,0.0114423573055056,0.0066949582450985,0.0625221157175839,0.0661620362744675,614.053733587265,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p1_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p1_last1
loss_balance_sweep_v1,pair0p5_cost0p0_last1,completed,last1,distilbert-base-uncased,12,3,0.5,0.0,0.4621212121212121,0.6079985905567301,0.6386539816772375,0.359504672982363,0.3029246234732886,0.1466001048463301,0.6072938689217758,0.7993305144467936,1.0069591261451727,0.4034069466744271,0.3542417246286968,0.6357968782471732,0.2756429090630569,0.2815551536184764,0.0785988155656398,0.0876619257716485,0.0778236947562889,0.031784332492103,0.124037823447047,0.1354602401275151,0.0890681140177358,0.1246315453394272,0.1289687524417799,0.1877259713349575,0.0103386192025061,0.068593375339059,0.0114423573055056,0.0066949582450985,0.0602747441147671,0.0631030716772215,649.3924641609192,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p0_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p0_last1
loss_balance_sweep_v1,pair0p25_cost0p02_last1,completed,last1,distilbert-base-uncased,12,3,0.25,0.02,0.4467935165609584,0.6004228329809725,0.6464059196617337,0.3140075155745358,0.2700105502607079,0.1135341154571923,0.6069415081042988,0.8613460183227625,1.03761451726568,0.2445524579784167,0.3427552150204474,0.6357968782471732,0.2756429090630569,0.2930416632267257,0.0671123059573905,0.0857301906707922,0.06655423356743,0.030669057243983,0.0654879623358044,0.0784549278886668,0.0536838584042901,0.0964791651146664,0.0620452772241747,0.1216805716184207,0.011010741428623,0.0652681271707286,0.0114423573055056,0.0066949582450985,0.0551423225295801,0.0589622689881509,703.6916971206665,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p02_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p02_last1
loss_balance_sweep_v1,pair0p5_cost0p05_last1,completed,last1,distilbert-base-uncased,12,3,0.5,0.05,0.4466173361522199,0.5926708949964764,0.6386539816772375,0.3076778791736303,0.2550799300403599,0.1111357494645904,0.6301973220577871,0.8380902043692742,1.049242424242424,0.3961991435430203,0.348999166177775,0.6357968782471732,0.2756429090630569,0.2867977120693982,0.073356257114718,0.0627674695969011,0.071079133819601,0.0216658927655726,0.0630005614365674,0.0589260049932899,0.0407691708329831,0.1228722892956256,0.0418060184349781,0.1350048699464495,0.0052549299791676,0.0596540182108109,0.0114423573055056,0.0066949582450985,0.0512038737219505,0.0540824181425193,494.6416413784027,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p05_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p5_cost0p05_last1
loss_balance_sweep_v1,pair0p25_cost0p1_last1,completed,last1,distilbert-base-uncased,12,3,0.25,0.1,0.4312896405919662,0.5926708949964764,0.6309020436927414,0.3065257408133493,0.2266558949657541,0.0986801558230129,0.622445384073291,0.8380902043692742,1.041490486257928,0.2305909472526162,0.336765277594437,0.6357968782471732,0.2756429090630569,0.2990316006527362,0.06112236853138,0.0748067907524487,0.071079133819601,0.0189416472756916,0.0643544966233783,0.0609086827357462,0.0410902355411645,0.1362943074549787,0.0478390641633487,0.1575591501606225,0.0041656736394493,0.0691349749644673,0.0114423573055056,0.0066949582450985,0.0598766958846659,0.0632084761819327,526.8725144863129,/content/project/Router_for_FeDeLiS/outputs/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p1_last1,/content/drive/MyDrive/MIT_nlp/router_sweeps/loss_balance_sweep_v1/bert_action_ranker_loss_balance_sweep_v1_pair0p25_cost0p1_last1
loss_balance_sweep_v1,pair0p25_cost0p0_last1,skipped_existing,last1,distilbert-base-uncased,12,3,0.25,0.0,0.4157857646229739,0.5695912614517266,0.6386539816772375,0.2457322366122176,0.2433225616324207,0.0777312974864409,0.6300211416490487,0.8380902043692742,1.0490662438336855,0.2333982924851682,0.3211108571250823,0.6357968782471732,0.2756429090630569,0.3146860211220909,0.0454679480620254,0.0831093614534493,0.0709040238341218,0.031784332492103,0.0930517243954981,0.0897713265254238,0.0531050368972171,0.1435765483835065,0.0478390641633487,0.1655642912213722,0.005923492179283,0.0704358057751745,0.0114423573055056,0.0066949582450985,0.0637599417484806,0.0657611129960506,,,
